Date,Volume,PctChange,Lag1,Lag2,Lag3,Lag4,Lag5,Direction
1981-04-02,52570000,inf,inf,inf,inf,inf,inf,Up
1981-04-03,48680000,inf,inf,inf,inf,inf,inf,Up
1981-04-06,43190000,inf,inf,inf,inf,inf,inf,Up
1981-04-07,44540000,inf,inf,inf,inf,inf,inf,Up
1981-04-08,48000000,inf,inf,inf,inf,inf,inf,Up
1981-04-09,59520000,inf,inf,inf,inf,inf,inf,Up
1981-04-10,58130000,inf,inf,inf,inf,inf,inf,Up
1981-04-13,49860000,inf,inf,inf,inf,inf,inf,Up
1981-04-14,48350000,inf,inf,inf,inf,inf,inf,Up
1981-04-15,56040000,inf,inf,inf,inf,inf,inf,Up
1981-04-16,52950000,inf,inf,inf,inf,inf,inf,Up
1981-04-20,51020000,inf,inf,inf,inf,inf,inf,Up
1981-04-21,60280000,inf,inf,inf,inf,inf,inf,Up
1981-04-22,60660000,inf,inf,inf,inf,inf,inf,Up
1981-04-23,64200000,inf,inf,inf,inf,inf,inf,Up
1981-04-24,60000000,inf,inf,inf,inf,inf,inf,Up
1981-04-27,51080000,inf,inf,inf,inf,inf,inf,Up
1981-04-28,58210000,inf,inf,inf,inf,inf,inf,Up
1981-04-29,53340000,inf,inf,inf,inf,inf,inf,Up
1981-04-30,47970000,inf,inf,inf,inf,inf,inf,Up
1981-05-01,48360000,inf,inf,inf,inf,inf,inf,Up
1981-05-04,40430000,inf,inf,inf,inf,inf,inf,Up
1981-05-05,49000000,inf,inf,inf,inf,inf,inf,Up
1981-05-06,47100000,inf,inf,inf,inf,inf,inf,Up
1981-05-07,42590000,inf,inf,inf,inf,inf,inf,Up
1981-05-08,41860000,inf,inf,inf,inf,inf,inf,Up
1981-05-11,37640000,inf,inf,inf,inf,inf,inf,Up
1981-05-12,40440000,inf,inf,inf,inf,inf,inf,Up
1981-05-13,42600000,inf,inf,inf,inf,inf,inf,Up
1981-05-14,42750000,inf,inf,inf,inf,inf,inf,Up
1981-05-15,45460000,inf,inf,inf,inf,inf,inf,Up
1981-05-18,42510000,inf,inf,inf,inf,inf,inf,Up
1981-05-19,42220000,inf,inf,inf,inf,inf,inf,Up
1981-05-20,42370000,inf,inf,inf,inf,inf,inf,Up
1981-05-21,46820000,inf,inf,inf,inf,inf,inf,Up
1981-05-22,40710000,inf,inf,inf,inf,inf,inf,Up
1981-05-26,42760000,inf,inf,inf,inf,inf,inf,Up
1981-05-27,58730000,inf,inf,inf,inf,inf,inf,Up
1981-05-28,59500000,inf,inf,inf,inf,inf,inf,Up
1981-05-29,51580000,inf,inf,inf,inf,inf,inf,Up
1981-06-01,62170000,inf,inf,inf,inf,inf,inf,Up
1981-06-02,53930000,inf,inf,inf,inf,inf,inf,Up
1981-06-03,54700000,inf,inf,inf,inf,inf,inf,Up
1981-06-04,48940000,inf,inf,inf,inf,inf,inf,Up
1981-06-05,47180000,inf,inf,inf,inf,inf,inf,Up
1981-06-08,41580000,inf,inf,inf,inf,inf,inf,Up
1981-06-09,44600000,inf,inf,inf,inf,inf,inf,Up
1981-06-10,53200000,inf,inf,inf,inf,inf,inf,Up
1981-06-11,59530000,inf,inf,inf,inf,inf,inf,Up
1981-06-12,60790000,inf,inf,inf,inf,inf,inf,Up
1981-06-15,63350000,inf,inf,inf,inf,inf,inf,Up
1981-06-16,57780000,inf,inf,inf,inf,inf,inf,Up
1981-06-17,55470000,inf,inf,inf,inf,inf,inf,Up
1981-06-18,48400000,inf,inf,inf,inf,inf,inf,Up
1981-06-19,46430000,inf,inf,inf,inf,inf,inf,Up
1981-06-22,41790000,inf,inf,inf,inf,inf,inf,Up
1981-06-23,51840000,inf,inf,inf,inf,inf,inf,Up
1981-06-24,46650000,inf,inf,inf,inf,inf,inf,Up
1981-06-25,43920000,inf,inf,inf,inf,inf,inf,Up
1981-06-26,39240000,inf,inf,inf,inf,inf,inf,Up
1981-06-29,37930000,inf,inf,inf,inf,inf,inf,Up
1981-06-30,41550000,inf,inf,inf,inf,inf,inf,Up
1981-07-01,49080000,inf,inf,inf,inf,inf,inf,Up
1981-07-02,45100000,inf,inf,inf,inf,inf,inf,Up
1981-07-06,44590000,inf,inf,inf,inf,inf,inf,Up
1981-07-07,53560000,inf,inf,inf,inf,inf,inf,Up
1981-07-08,46000000,inf,inf,inf,inf,inf,inf,Up
1981-07-09,45510000,inf,inf,inf,inf,inf,inf,Up
1981-07-10,39950000,inf,inf,inf,inf,inf,inf,Up
1981-07-13,38100000,inf,inf,inf,inf,inf,inf,Up
1981-07-14,45230000,inf,inf,inf,inf,inf,inf,Up
1981-07-15,48950000,inf,inf,inf,inf,inf,inf,Up
1981-07-16,39010000,inf,inf,inf,inf,inf,inf,Up
1981-07-17,42780000,inf,inf,inf,inf,inf,inf,Up
1981-07-20,40240000,inf,inf,inf,inf,inf,inf,Up
1981-07-21,47280000,inf,inf,inf,inf,inf,inf,Up
1981-07-22,47500000,inf,inf,inf,inf,inf,inf,Up
1981-07-23,41790000,inf,inf,inf,inf,inf,inf,Up
1981-07-24,38880000,inf,inf,inf,inf,inf,inf,Up
1981-07-27,39610000,inf,inf,inf,inf,inf,inf,Up
1981-07-28,38160000,inf,inf,inf,inf,inf,inf,Up
1981-07-29,37610000,inf,inf,inf,inf,inf,inf,Up
1981-07-30,41560000,inf,inf,inf,inf,inf,inf,Up
1981-07-31,43480000,inf,inf,inf,inf,inf,inf,Up
1981-08-03,39650000,inf,inf,inf,inf,inf,inf,Up
1981-08-04,39460000,inf,inf,inf,inf,inf,inf,Up
1981-08-05,54290000,inf,inf,inf,inf,inf,inf,Up
1981-08-06,52070000,inf,inf,inf,inf,inf,inf,Up
1981-08-07,38370000,inf,inf,inf,inf,inf,inf,Up
1981-08-10,38370000,inf,inf,inf,inf,inf,inf,Up
1981-08-11,52600000,inf,inf,inf,inf,inf,inf,Up
1981-08-12,53650000,inf,inf,inf,inf,inf,inf,Up
1981-08-13,42460000,inf,inf,inf,inf,inf,inf,Up
1981-08-14,42580000,inf,inf,inf,inf,inf,inf,Up
1981-08-17,40840000,inf,inf,inf,inf,inf,inf,Up
1981-08-18,47270000,inf,inf,inf,inf,inf,inf,Up
1981-08-19,39390000,inf,inf,inf,inf,inf,inf,Up
1981-08-20,38270000,inf,inf,inf,inf,inf,inf,Up
1981-08-21,37670000,inf,inf,inf,inf,inf,inf,Up
1981-08-24,46750000,inf,inf,inf,inf,inf,inf,Up
1981-08-25,54600000,inf,inf,inf,inf,inf,inf,Up
1981-08-26,39980000,inf,inf,inf,inf,inf,inf,Up
1981-08-27,43900000,inf,inf,inf,inf,inf,inf,Up
1981-08-28,38020000,inf,inf,inf,inf,inf,inf,Up
1981-08-31,40360000,inf,inf,inf,inf,inf,inf,Up
1981-09-01,45110000,inf,inf,inf,inf,inf,inf,Up
1981-09-02,37570000,inf,inf,inf,inf,inf,inf,Up
1981-09-03,41730000,inf,inf,inf,inf,inf,inf,Up
1981-09-04,42760000,inf,inf,inf,inf,inf,inf,Up
1981-09-08,47340000,inf,inf,inf,inf,inf,inf,Up
1981-09-09,43910000,inf,inf,inf,inf,inf,inf,Up
1981-09-10,47430000,inf,inf,inf,inf,inf,inf,Up
1981-09-11,42170000,inf,inf,inf,inf,inf,inf,Up
1981-09-14,34040000,inf,inf,inf,inf,inf,inf,Up
1981-09-15,38580000,inf,inf,inf,inf,inf,inf,Up
1981-09-16,43660000,inf,inf,inf,inf,inf,inf,Up
1981-09-17,48300000,inf,inf,inf,inf,inf,inf,Up
